R,G,B,RGB,D
896.0,938.0,875.0,712.0,0
908.0,945.0,877.0,739.0,0
883.0,929.0,876.0,712.0,0
904.0,945.0,860.0,724.0,0
878.0,922.0,896.0,745.0,0
888.0,939.0,862.0,720.0,0
874.0,920.0,904.0,758.0,0
869.0,920.0,889.0,735.0,0
893.0,940.0,858.0,712.0,0
881.0,922.0,919.0,771.0,0
872.0,921.0,889.0,732.0,0
902.0,945.0,866.0,730.0,0
872.0,917.0,905.0,757.0,0
877.0,928.0,863.0,706.0,0
906.0,946.0,855.0,703.0,0
891.0,927.0,913.0,768.0,0
870.0,919.0,902.0,744.0,0
898.0,944.0,852.0,701.0,0
906.0,943.0,893.0,752.0,0
867.0,914.0,910.0,760.0,0
871.0,922.0,880.0,724.0,0
888.0,929.0,900.0,756.0,0
869.0,919.0,905.0,751.0,0
886.0,937.0,854.0,699.0,0
906.0,946.0,855.0,700.0,0
906.0,942.0,889.0,745.0,0
872.0,920.0,894.0,743.0,0
880.0,930.0,861.0,699.0,0
906.0,945.0,855.0,700.0,0
906.0,945.0,855.0,701.0,0
885.0,923.0,922.0,776.0,0
870.0,919.0,897.0,741.0,0
896.0,941.0,852.0,699.0,0
906.0,946.0,854.0,700.0,0
906.0,946.0,880.0,741.0,0
869.0,918.0,921.0,772.0,0
871.0,922.0,898.0,741.0,0
897.0,943.0,853.0,703.0,0
889.0,926.0,909.0,764.0,0
871.0,920.0,890.0,732.0,0
904.0,945.0,867.0,728.0,0
881.0,926.0,889.0,736.0,0
901.0,944.0,856.0,707.0,0
886.0,928.0,898.0,746.0,0
893.0,938.0,855.0,705.0,0
900.0,936.0,877.0,729.0,0
885.0,927.0,883.0,732.0,0
898.0,943.0,862.0,707.0,0
904.0,942.0,889.0,742.0,0
881.0,930.0,881.0,710.0,0
905.0,946.0,876.0,735.0,0
876.0,925.0,880.0,713.0,0
902.0,945.0,856.0,701.0,0
879.0,921.0,899.0,740.0,0
894.0,941.0,854.0,699.0,0
900.0,933.0,904.0,755.0,0
890.0,941.0,859.0,704.0,0
904.0,938.0,902.0,755.0,0
889.0,941.0,859.0,707.0,0
907.0,945.0,894.0,749.0,0
885.0,937.0,860.0,706.0,0
905.0,941.0,899.0,755.0,0
878.0,927.0,863.0,699.0,0
905.0,945.0,858.0,700.0,0
891.0,930.0,908.0,751.0,0
902.0,944.0,859.0,720.0,0
887.0,933.0,880.0,718.0,0
909.0,949.0,870.0,724.0,0
894.0,938.0,858.0,702.0,0
905.0,945.0,891.0,743.0,0
888.0,937.0,866.0,704.0,0
902.0,945.0,894.0,746.0,0
899.0,946.0,864.0,709.0,0
906.0,942.0,895.0,743.0,0
897.0,943.0,855.0,701.0,0
894.0,933.0,896.0,739.0,0
903.0,945.0,864.0,730.0,0
889.0,936.0,877.0,707.0,0
911.0,948.0,870.0,737.0,0
887.0,934.0,864.0,700.0,0
903.0,942.0,894.0,745.0,0
895.0,942.0,858.0,701.0,0
898.0,937.0,898.0,736.0,0
902.0,946.0,861.0,722.0,0
880.0,928.0,912.0,751.0,0
906.0,946.0,878.0,745.0,0
889.0,937.0,857.0,708.0,0
906.0,940.0,901.0,752.0,0
893.0,943.0,854.0,700.0,0
898.0,940.0,891.0,731.0,0
902.0,946.0,859.0,716.0,0
896.0,943.0,860.0,705.0,0
905.0,943.0,889.0,735.0,0
908.0,946.0,861.0,710.0,0
890.0,931.0,912.0,753.0,0
904.0,946.0,898.0,762.0,0
885.0,939.0,853.0,701.0,0
897.0,937.0,903.0,745.0,0
895.0,943.0,854.0,723.0,0
884.0,933.0,878.0,705.0,0
907.0,938.0,879.0,711.0,1
884.0,925.0,860.0,680.0,1
892.0,939.0,860.0,720.0,1
882.0,933.0,836.0,679.0,1
898.0,927.0,891.0,741.0,1
883.0,934.0,837.0,680.0,1
890.0,926.0,883.0,730.0,1
890.0,937.0,839.0,687.0,1
887.0,930.0,854.0,681.0,1
893.0,939.0,854.0,720.0,1
880.0,929.0,837.0,679.0,1
896.0,934.0,877.0,725.0,1
892.0,937.0,839.0,684.0,1
885.0,924.0,871.0,693.0,1
898.0,939.0,859.0,716.0,1
883.0,935.0,835.0,681.0,1
883.0,924.0,879.0,716.0,1
890.0,938.0,852.0,715.0,1
883.0,931.0,835.0,675.0,1
895.0,933.0,875.0,734.0,1
883.0,931.0,835.0,675.0,1
892.0,934.0,866.0,689.0,1
892.0,938.0,865.0,729.0,1
876.0,924.0,845.0,678.0,1
897.0,939.0,873.0,731.0,1
892.0,939.0,835.0,690.0,1
891.0,939.0,833.0,683.0,1
903.0,943.0,881.0,748.0,1
881.0,928.0,860.0,691.0,1
898.0,944.0,837.0,706.0,1
878.0,924.0,869.0,711.0,1
894.0,943.0,845.0,703.0,1
887.0,932.0,849.0,679.0,1
897.0,942.0,874.0,731.0,1
885.0,940.0,832.0,680.0,1
901.0,941.0,880.0,742.0,1
874.0,933.0,830.0,680.0,1
897.0,929.0,893.0,760.0,1
871.0,922.0,833.0,681.0,1
900.0,945.0,840.0,706.0,1
880.0,923.0,893.0,744.0,1
890.0,940.0,834.0,695.0,1
879.0,923.0,879.0,730.0,1
888.0,939.0,834.0,690.0,1
881.0,923.0,879.0,728.0,1
888.0,937.0,833.0,676.0,1
