R,G,B,RGB,D
765.0,799.0,890.0,567.0,7
811.0,855.0,893.0,651.0,7
745.0,808.0,889.0,685.0,7
802.0,803.0,876.0,560.0,7
796.0,849.0,890.0,687.0,7
735.0,792.0,880.0,627.0,7
813.0,852.0,884.0,562.0,7
798.0,851.0,893.0,662.0,7
751.0,792.0,883.0,654.0,7
811.0,836.0,881.0,565.0,7
803.0,853.0,890.0,671.0,7
742.0,802.0,886.0,651.0,7
808.0,807.0,879.0,563.0,7
809.0,855.0,896.0,669.0,7
749.0,815.0,889.0,666.0,7
791.0,788.0,877.0,570.0,7
809.0,842.0,884.0,628.0,7
775.0,842.0,894.0,698.0,7
759.0,792.0,883.0,611.0,7
815.0,853.0,890.0,563.0,7
790.0,857.0,904.0,689.0,7
747.0,798.0,886.0,642.0,7
808.0,836.0,876.0,562.0,7
818.0,865.0,896.0,697.0,7
747.0,813.0,890.0,691.0,7
780.0,791.0,885.0,571.0,7
825.0,854.0,889.0,564.0,7
806.0,854.0,897.0,680.0,7
746.0,807.0,887.0,664.0,7
764.0,795.0,878.0,597.0,7
806.0,825.0,879.0,564.0,7
811.0,860.0,899.0,614.0,7
768.0,842.0,902.0,709.0,7
735.0,795.0,882.0,624.0,7
811.0,837.0,879.0,562.0,7
805.0,851.0,894.0,664.0,7
768.0,831.0,892.0,676.0,7
744.0,790.0,882.0,645.0,7
811.0,824.0,885.0,567.0,7
805.0,854.0,894.0,565.0,7
783.0,844.0,899.0,661.0,7
759.0,822.0,889.0,623.0,7
750.0,812.0,889.0,647.0,7
748.0,807.0,889.0,658.0,7
740.0,795.0,880.0,605.0,7
806.0,839.0,879.0,564.0,7
811.0,856.0,897.0,685.0,7
747.0,803.0,883.0,660.0,7
775.0,793.0,878.0,601.0,7
807.0,844.0,884.0,562.0,7
807.0,860.0,899.0,688.0,7
746.0,805.0,893.0,678.0,7
786.0,794.0,878.0,568.0,7
811.0,861.0,893.0,563.0,7
802.0,856.0,896.0,695.0,7
744.0,812.0,889.0,684.0,7
806.0,838.0,880.0,565.0,7
757.0,817.0,894.0,683.0,7
792.0,796.0,878.0,561.0,7
747.0,807.0,895.0,707.0,7
803.0,796.0,875.0,562.0,7
814.0,861.0,894.0,602.0,7
750.0,802.0,880.0,563.0,7
750.0,803.0,881.0,563.0,7
751.0,803.0,882.0,625.0,7
843.0,883.0,905.0,743.0,7
834.0,876.0,900.0,733.0,7
828.0,863.0,889.0,602.0,7
752.0,803.0,878.0,584.0,7
799.0,824.0,875.0,563.0,7
755.0,828.0,894.0,681.0,7
739.0,799.0,878.0,571.0,7
817.0,854.0,895.0,575.0,7
763.0,804.0,887.0,642.0,7
789.0,807.0,875.0,563.0,7
810.0,858.0,891.0,656.0,7
751.0,797.0,883.0,641.0,7
811.0,834.0,877.0,566.0,7
822.0,877.0,909.0,747.0,7
820.0,835.0,875.0,565.0,7
757.0,801.0,880.0,618.0,7
822.0,862.0,891.0,689.0,7
748.0,800.0,877.0,564.0,7
776.0,848.0,897.0,702.0,7
776.0,799.0,876.0,566.0,7
791.0,853.0,898.0,672.0,7
751.0,801.0,879.0,568.0,7
758.0,804.0,881.0,568.0,7
758.0,804.0,882.0,572.0,7
838.0,879.0,900.0,740.0,7
828.0,871.0,899.0,728.0,7
834.0,875.0,897.0,643.0,7
752.0,800.0,879.0,617.0,7
805.0,819.0,876.0,566.0,7
835.0,879.0,900.0,711.0,7
750.0,803.0,888.0,700.0,7
821.0,847.0,878.0,564.0,7
810.0,867.0,902.0,698.0,7
748.0,807.0,891.0,685.0,7
801.0,798.0,876.0,564.0,7
