R,G,B,RGB,D
931.0,996.0,901.0,759.0,6
906.0,980.0,882.0,743.0,6
904.0,975.0,880.0,738.0,6
903.0,976.0,879.0,737.0,6
906.0,976.0,883.0,749.0,6
909.0,977.0,881.0,742.0,6
902.0,974.0,887.0,739.0,6
904.0,975.0,883.0,748.0,6
906.0,972.0,882.0,738.0,6
903.0,972.0,883.0,737.0,6
904.0,971.0,882.0,739.0,6
907.0,976.0,884.0,746.0,6
912.0,976.0,885.0,746.0,6
906.0,976.0,886.0,745.0,6
904.0,976.0,889.0,760.0,6
908.0,975.0,883.0,755.0,6
904.0,970.0,888.0,738.0,6
902.0,973.0,889.0,738.0,6
905.0,974.0,887.0,755.0,6
910.0,975.0,882.0,746.0,6
905.0,974.0,885.0,740.0,6
904.0,973.0,887.0,742.0,6
908.0,975.0,884.0,752.0,6
906.0,973.0,883.0,744.0,6
905.0,976.0,891.0,746.0,6
910.0,973.0,884.0,752.0,6
908.0,967.0,884.0,740.0,6
901.0,970.0,888.0,737.0,6
907.0,972.0,884.0,748.0,6
908.0,972.0,885.0,741.0,6
911.0,974.0,882.0,742.0,6
904.0,974.0,884.0,741.0,6
912.0,975.0,885.0,755.0,6
903.0,976.0,879.0,737.0,6
902.0,978.0,885.0,744.0,6
906.0,975.0,884.0,744.0,6
904.0,976.0,883.0,742.0,6
905.0,977.0,885.0,748.0,6
905.0,978.0,882.0,747.0,6
905.0,978.0,881.0,741.0,6
905.0,977.0,881.0,748.0,6
908.0,974.0,884.0,739.0,6
903.0,974.0,885.0,737.0,6
902.0,971.0,887.0,748.0,6
907.0,971.0,880.0,736.0,6
901.0,971.0,880.0,733.0,6
901.0,974.0,885.0,739.0,6
904.0,974.0,883.0,746.0,6
904.0,977.0,883.0,741.0,6
905.0,977.0,884.0,752.0,6
907.0,973.0,883.0,739.0,6
901.0,973.0,887.0,746.0,6
907.0,971.0,882.0,748.0,6
898.0,968.0,889.0,738.0,6
904.0,970.0,883.0,737.0,6
900.0,969.0,885.0,739.0,6
913.0,969.0,882.0,738.0,6
902.0,973.0,884.0,745.0,6
910.0,974.0,884.0,744.0,6
903.0,976.0,889.0,760.0,6
906.0,976.0,878.0,739.0,6
901.0,976.0,883.0,745.0,6
906.0,973.0,882.0,740.0,6
902.0,971.0,882.0,738.0,6
907.0,969.0,884.0,736.0,6
901.0,970.0,882.0,740.0,6
902.0,979.0,878.0,737.0,6
902.0,981.0,877.0,739.0,6
904.0,986.0,874.0,744.0,6
905.0,986.0,869.0,740.0,6
899.0,985.0,878.0,750.0,6
905.0,986.0,869.0,743.0,6
901.0,982.0,868.0,731.0,6
895.0,985.0,869.0,732.0,6
895.0,985.0,866.0,729.0,6
898.0,985.0,868.0,730.0,6
900.0,986.0,871.0,739.0,6
904.0,983.0,876.0,741.0,6
902.0,980.0,880.0,737.0,6
907.0,980.0,883.0,763.0,6
906.0,979.0,879.0,737.0,6
901.0,980.0,883.0,741.0,6
905.0,981.0,879.0,750.0,6
907.0,981.0,887.0,741.0,6
904.0,982.0,879.0,751.0,6
903.0,982.0,872.0,745.0,6
899.0,983.0,880.0,761.0,6
907.0,980.0,883.0,744.0,6
903.0,979.0,883.0,767.0,6
917.0,975.0,877.0,743.0,6
900.0,979.0,879.0,751.0,6
909.0,977.0,876.0,740.0,6
899.0,978.0,878.0,732.0,6
902.0,982.0,875.0,747.0,6
902.0,983.0,869.0,733.0,6
899.0,1019.0,879.0,742.0,6
911.0,996.0,874.0,772.0,6
901.0,1021.0,887.0,753.0,6
905.0,983.0,874.0,751.0,6
903.0,980.0,876.0,738.0,6
