R,G,B,RGB,D
832.0,925.0,883.0,740.0,2
833.0,897.0,864.0,664.0,2
818.0,932.0,835.0,635.0,2
843.0,900.0,879.0,719.0,2
804.0,924.0,832.0,631.0,2
840.0,895.0,890.0,735.0,2
800.0,929.0,832.0,634.0,2
834.0,917.0,871.0,708.0,2
812.0,930.0,832.0,634.0,2
829.0,913.0,880.0,720.0,2
811.0,928.0,834.0,634.0,2
836.0,913.0,882.0,720.0,2
805.0,929.0,834.0,634.0,2
831.0,911.0,881.0,726.0,2
803.0,927.0,831.0,632.0,2
825.0,920.0,871.0,712.0,2
832.0,920.0,829.0,633.0,2
823.0,932.0,839.0,669.0,2
832.0,907.0,871.0,699.0,2
807.0,927.0,834.0,632.0,2
836.0,897.0,868.0,682.0,2
813.0,924.0,838.0,632.0,2
829.0,907.0,881.0,721.0,2
808.0,924.0,832.0,641.0,2
829.0,895.0,865.0,685.0,2
815.0,927.0,835.0,644.0,2
823.0,893.0,864.0,680.0,2
814.0,928.0,837.0,632.0,2
831.0,900.0,883.0,733.0,2
811.0,926.0,832.0,631.0,2
832.0,913.0,871.0,706.0,2
801.0,925.0,831.0,631.0,2
833.0,903.0,869.0,704.0,2
805.0,928.0,833.0,633.0,2
832.0,911.0,873.0,711.0,2
808.0,926.0,833.0,632.0,2
835.0,906.0,878.0,716.0,2
817.0,928.0,830.0,634.0,2
832.0,912.0,876.0,741.0,2
830.0,891.0,863.0,636.0,2
822.0,935.0,856.0,697.0,2
826.0,907.0,830.0,632.0,2
821.0,930.0,857.0,694.0,2
825.0,898.0,858.0,632.0,2
821.0,928.0,838.0,657.0,2
822.0,885.0,870.0,680.0,2
815.0,930.0,836.0,633.0,2
835.0,909.0,873.0,710.0,2
812.0,928.0,831.0,631.0,2
816.0,927.0,863.0,703.0,2
818.0,917.0,827.0,630.0,2
821.0,928.0,866.0,717.0,2
822.0,906.0,827.0,630.0,2
820.0,930.0,835.0,642.0,2
833.0,896.0,880.0,721.0,2
806.0,929.0,832.0,634.0,2
836.0,892.0,877.0,739.0,2
825.0,894.0,850.0,632.0,2
818.0,933.0,853.0,693.0,2
829.0,901.0,865.0,687.0,2
815.0,930.0,836.0,646.0,2
827.0,885.0,875.0,726.0,2
813.0,895.0,844.0,631.0,2
818.0,916.0,872.0,719.0,2
825.0,894.0,870.0,692.0,2
811.0,930.0,837.0,634.0,2
837.0,906.0,876.0,714.0,2
814.0,926.0,836.0,633.0,2
838.0,908.0,869.0,715.0,2
822.0,912.0,829.0,632.0,2
824.0,930.0,857.0,695.0,2
836.0,907.0,860.0,665.0,2
821.0,935.0,837.0,639.0,2
835.0,908.0,870.0,716.0,2
816.0,930.0,831.0,637.0,2
840.0,905.0,873.0,720.0,2
823.0,920.0,830.0,634.0,2
824.0,934.0,851.0,694.0,2
831.0,910.0,838.0,637.0,2
823.0,928.0,864.0,713.0,2
821.0,893.0,854.0,653.0,2
820.0,934.0,841.0,686.0,2
832.0,899.0,866.0,696.0,2
821.0,932.0,834.0,639.0,2
839.0,917.0,872.0,716.0,2
818.0,926.0,832.0,635.0,2
823.0,933.0,846.0,691.0,2
820.0,920.0,831.0,636.0,2
824.0,931.0,842.0,650.0,2
831.0,906.0,865.0,694.0,2
813.0,932.0,834.0,637.0,2
822.0,934.0,849.0,698.0,2
825.0,894.0,855.0,675.0,2
821.0,932.0,838.0,666.0,2
829.0,897.0,868.0,693.0,2
819.0,934.0,842.0,681.0,2
825.0,904.0,862.0,692.0,2
820.0,911.0,829.0,632.0,2
829.0,909.0,868.0,711.0,2
820.0,891.0,860.0,661.0,2
