R,G,B,RGB,D
907.0,936.0,970.0,757.0,5
892.0,931.0,962.0,750.0,5
879.0,918.0,962.0,773.0,5
879.0,909.0,964.0,774.0,5
892.0,939.0,962.0,784.0,5
859.0,891.0,965.0,763.0,5
894.0,923.0,962.0,746.0,5
893.0,932.0,961.0,788.0,5
880.0,909.0,962.0,780.0,5
891.0,920.0,963.0,746.0,5
896.0,937.0,962.0,792.0,5
858.0,890.0,966.0,733.0,5
867.0,894.0,963.0,724.0,5
895.0,939.0,964.0,808.0,5
881.0,926.0,962.0,806.0,5
876.0,900.0,963.0,729.0,5
883.0,938.0,965.0,796.0,5
882.0,922.0,963.0,799.0,5
873.0,894.0,961.0,724.0,5
878.0,934.0,966.0,795.0,5
884.0,921.0,961.0,797.0,5
867.0,887.0,958.0,721.0,5
883.0,936.0,963.0,751.0,5
898.0,942.0,964.0,797.0,5
857.0,893.0,957.0,757.0,5
899.0,929.0,963.0,750.0,5
903.0,942.0,963.0,793.0,5
861.0,891.0,959.0,747.0,5
896.0,931.0,962.0,753.0,5
905.0,941.0,965.0,780.0,5
860.0,894.0,958.0,762.0,5
900.0,911.0,963.0,755.0,5
900.0,933.0,963.0,759.0,5
860.0,901.0,959.0,792.0,5
883.0,910.0,963.0,762.0,5
900.0,931.0,956.0,725.0,5
862.0,910.0,968.0,800.0,5
899.0,921.0,962.0,769.0,5
905.0,941.0,963.0,781.0,5
865.0,904.0,964.0,804.0,5
886.0,911.0,961.0,783.0,5
901.0,941.0,961.0,813.0,5
896.0,920.0,962.0,745.0,5
896.0,931.0,962.0,747.0,5
882.0,907.0,963.0,747.0,5
882.0,907.0,965.0,767.0,5
883.0,915.0,965.0,810.0,5
886.0,897.0,962.0,732.0,5
903.0,942.0,965.0,752.0,5
885.0,910.0,965.0,750.0,5
904.0,943.0,965.0,810.0,5
870.0,894.0,958.0,725.0,5
868.0,934.0,965.0,803.0,5
881.0,912.0,964.0,772.0,5
882.0,912.0,962.0,772.0,5
888.0,914.0,962.0,749.0,5
883.0,910.0,961.0,792.0,5
898.0,936.0,963.0,783.0,5
894.0,930.0,962.0,798.0,5
899.0,942.0,965.0,814.0,5
885.0,901.0,969.0,741.0,5
866.0,907.0,962.0,777.0,5
857.0,895.0,957.0,748.0,5
899.0,932.0,964.0,755.0,5
910.0,944.0,964.0,794.0,5
877.0,926.0,975.0,754.0,5
881.0,919.0,964.0,791.0,5
885.0,907.0,961.0,729.0,5
895.0,942.0,966.0,815.0,5
896.0,926.0,967.0,809.0,5
881.0,901.0,962.0,734.0,5
885.0,925.0,968.0,807.0,5
893.0,916.0,964.0,800.0,5
891.0,911.0,959.0,732.0,5
871.0,912.0,964.0,795.0,5
903.0,914.0,963.0,779.0,5
891.0,920.0,961.0,726.0,5
871.0,910.0,969.0,808.0,5
891.0,913.0,964.0,784.0,5
902.0,931.0,959.0,739.0,5
869.0,903.0,964.0,802.0,5
887.0,913.0,962.0,768.0,5
899.0,933.0,962.0,762.0,5
866.0,903.0,966.0,804.0,5
903.0,914.0,963.0,758.0,5
910.0,945.0,965.0,799.0,5
864.0,892.0,963.0,749.0,5
903.0,925.0,963.0,753.0,5
910.0,946.0,967.0,808.0,5
891.0,924.0,964.0,813.0,5
891.0,918.0,956.0,724.0,5
878.0,923.0,956.0,767.0,5
865.0,915.0,967.0,810.0,5
905.0,916.0,963.0,757.0,5
912.0,946.0,966.0,796.0,5
892.0,918.0,965.0,805.0,5
885.0,907.0,962.0,725.0,5
873.0,920.0,955.0,755.0,5
864.0,895.0,956.0,781.0,5
902.0,919.0,965.0,749.0,5
