R,G,B,RGB,D
751.0,784.0,850.0,519.0,13
718.0,772.0,829.0,511.0,13
717.0,770.0,824.0,509.0,13
716.0,769.0,823.0,508.0,13
717.0,769.0,823.0,508.0,13
716.0,770.0,823.0,508.0,13
730.0,811.0,852.0,592.0,13
711.0,768.0,822.0,509.0,13
783.0,822.0,846.0,582.0,13
716.0,766.0,821.0,508.0,13
770.0,816.0,851.0,585.0,13
709.0,771.0,828.0,549.0,13
749.0,786.0,824.0,509.0,13
714.0,772.0,838.0,598.0,13
777.0,824.0,851.0,612.0,13
713.0,769.0,821.0,542.0,13
770.0,801.0,835.0,512.0,13
720.0,770.0,829.0,567.0,13
766.0,800.0,837.0,507.0,13
714.0,770.0,826.0,508.0,13
782.0,826.0,850.0,568.0,13
711.0,769.0,823.0,507.0,13
734.0,809.0,852.0,624.0,13
730.0,768.0,818.0,509.0,13
740.0,820.0,865.0,655.0,13
750.0,767.0,817.0,509.0,13
785.0,832.0,866.0,655.0,13
702.0,765.0,820.0,508.0,13
781.0,827.0,858.0,660.0,13
707.0,766.0,823.0,509.0,13
761.0,813.0,860.0,591.0,13
715.0,769.0,841.0,596.0,13
797.0,843.0,864.0,639.0,13
712.0,775.0,843.0,628.0,13
784.0,817.0,838.0,509.0,13
726.0,797.0,854.0,643.0,13
770.0,779.0,817.0,506.0,13
758.0,819.0,857.0,577.0,13
708.0,770.0,825.0,508.0,13
755.0,808.0,856.0,560.0,13
713.0,772.0,826.0,558.0,13
781.0,823.0,843.0,528.0,13
720.0,800.0,846.0,619.0,13
739.0,768.0,821.0,510.0,13
750.0,835.0,871.0,686.0,13
759.0,770.0,821.0,509.0,13
715.0,773.0,825.0,515.0,13
780.0,827.0,849.0,572.0,13
715.0,773.0,822.0,512.0,13
762.0,803.0,844.0,513.0,13
717.0,774.0,836.0,590.0,13
772.0,815.0,847.0,525.0,13
719.0,776.0,839.0,610.0,13
771.0,800.0,818.0,511.0,13
724.0,787.0,849.0,599.0,13
726.0,769.0,819.0,507.0,13
767.0,822.0,854.0,602.0,13
706.0,771.0,825.0,508.0,13
747.0,814.0,850.0,609.0,13
707.0,771.0,823.0,514.0,13
775.0,819.0,845.0,560.0,13
722.0,770.0,824.0,542.0,13
776.0,823.0,846.0,515.0,13
717.0,781.0,845.0,624.0,13
786.0,831.0,847.0,515.0,13
714.0,781.0,833.0,570.0,13
760.0,819.0,846.0,540.0,13
713.0,789.0,825.0,545.0,13
776.0,837.0,849.0,552.0,13
717.0,784.0,833.0,570.0,13
761.0,801.0,823.0,515.0,13
721.0,800.0,859.0,649.0,13
730.0,777.0,830.0,512.0,13
755.0,826.0,858.0,619.0,13
706.0,778.0,825.0,513.0,13
775.0,833.0,852.0,616.0,13
711.0,780.0,836.0,589.0,13
770.0,803.0,813.0,511.0,13
724.0,796.0,848.0,631.0,13
767.0,782.0,822.0,513.0,13
732.0,818.0,853.0,608.0,13
704.0,778.0,825.0,512.0,13
761.0,829.0,852.0,586.0,13
714.0,781.0,831.0,574.0,13
754.0,771.0,816.0,511.0,13
751.0,821.0,858.0,639.0,13
707.0,773.0,831.0,562.0,13
759.0,791.0,822.0,509.0,13
720.0,816.0,859.0,652.0,13
752.0,771.0,829.0,512.0,13
767.0,831.0,855.0,626.0,13
716.0,773.0,819.0,514.0,13
776.0,829.0,853.0,541.0,13
710.0,780.0,835.0,595.0,13
776.0,803.0,824.0,513.0,13
727.0,804.0,849.0,597.0,13
707.0,776.0,824.0,511.0,13
757.0,824.0,854.0,610.0,13
715.0,773.0,835.0,587.0,13
776.0,819.0,832.0,511.0,13
