R,G,B,RGB,D
933.0,967.0,969.0,806.0,10
913.0,960.0,962.0,812.0,10
908.0,959.0,956.0,793.0,10
910.0,958.0,963.0,810.0,10
903.0,958.0,957.0,791.0,10
909.0,956.0,965.0,815.0,10
902.0,955.0,954.0,787.0,10
908.0,956.0,965.0,815.0,10
909.0,958.0,954.0,792.0,10
913.0,959.0,965.0,820.0,10
914.0,960.0,953.0,796.0,10
915.0,961.0,960.0,816.0,10
913.0,958.0,956.0,795.0,10
913.0,960.0,962.0,816.0,10
908.0,957.0,952.0,788.0,10
911.0,958.0,963.0,812.0,10
905.0,956.0,951.0,786.0,10
906.0,953.0,963.0,813.0,10
901.0,954.0,952.0,783.0,10
905.0,954.0,965.0,814.0,10
902.0,957.0,956.0,793.0,10
911.0,958.0,965.0,815.0,10
909.0,957.0,955.0,794.0,10
913.0,957.0,964.0,815.0,10
914.0,958.0,955.0,796.0,10
912.0,958.0,964.0,815.0,10
901.0,956.0,957.0,790.0,10
909.0,957.0,967.0,818.0,10
904.0,957.0,956.0,787.0,10
906.0,957.0,960.0,809.0,10
906.0,955.0,960.0,797.0,10
912.0,960.0,955.0,810.0,10
910.0,957.0,965.0,823.0,10
913.0,960.0,953.0,795.0,10
914.0,960.0,964.0,817.0,10
902.0,956.0,953.0,789.0,10
908.0,957.0,962.0,817.0,10
906.0,956.0,953.0,791.0,10
911.0,961.0,961.0,814.0,10
906.0,956.0,952.0,786.0,10
907.0,958.0,954.0,799.0,10
906.0,955.0,958.0,792.0,10
909.0,959.0,955.0,797.0,10
906.0,954.0,961.0,801.0,10
904.0,957.0,954.0,797.0,10
908.0,956.0,963.0,800.0,10
913.0,963.0,955.0,806.0,10
907.0,958.0,961.0,809.0,10
905.0,962.0,954.0,799.0,10
907.0,961.0,963.0,819.0,10
915.0,967.0,954.0,801.0,10
916.0,964.0,961.0,817.0,10
906.0,959.0,952.0,791.0,10
911.0,961.0,965.0,828.0,10
911.0,959.0,951.0,798.0,10
913.0,960.0,964.0,822.0,10
905.0,956.0,953.0,792.0,10
909.0,961.0,964.0,824.0,10
911.0,961.0,955.0,796.0,10
914.0,963.0,958.0,819.0,10
908.0,960.0,961.0,816.0,10
909.0,962.0,951.0,792.0,10
913.0,960.0,964.0,826.0,10
910.0,963.0,952.0,797.0,10
915.0,963.0,962.0,817.0,10
905.0,959.0,952.0,789.0,10
908.0,961.0,960.0,817.0,10
907.0,959.0,954.0,797.0,10
915.0,963.0,953.0,801.0,10
910.0,961.0,957.0,802.0,10
908.0,962.0,954.0,792.0,10
909.0,960.0,965.0,822.0,10
905.0,963.0,953.0,797.0,10
910.0,965.0,955.0,807.0,10
907.0,961.0,956.0,797.0,10
911.0,964.0,955.0,798.0,10
913.0,962.0,962.0,808.0,10
910.0,963.0,956.0,796.0,10
908.0,963.0,955.0,794.0,10
906.0,960.0,953.0,793.0,10
906.0,959.0,953.0,793.0,10
907.0,960.0,953.0,793.0,10
907.0,960.0,953.0,793.0,10
907.0,960.0,953.0,793.0,10
907.0,960.0,953.0,793.0,10
906.0,959.0,953.0,792.0,10
906.0,959.0,952.0,792.0,10
906.0,960.0,953.0,793.0,10
909.0,956.0,967.0,825.0,10
905.0,956.0,952.0,806.0,10
908.0,958.0,963.0,816.0,10
911.0,962.0,955.0,813.0,10
905.0,955.0,961.0,805.0,10
906.0,959.0,953.0,806.0,10
905.0,954.0,964.0,821.0,10
911.0,958.0,956.0,794.0,10
909.0,957.0,964.0,811.0,10
904.0,956.0,954.0,788.0,10
907.0,955.0,966.0,818.0,10
904.0,950.0,965.0,815.0,10
