R,G,B,RGB,D
550.0,758.0,622.0,340.0,7
434.0,696.0,590.0,321.0,7
412.0,680.0,581.0,310.0,7
404.0,676.0,579.0,310.0,7
412.0,674.0,580.0,319.0,7
416.0,671.0,584.0,324.0,7
417.0,673.0,576.0,314.0,7
405.0,670.0,573.0,310.0,7
401.0,669.0,569.0,303.0,7
395.0,669.0,562.0,298.0,7
394.0,669.0,569.0,306.0,7
398.0,668.0,568.0,308.0,7
401.0,665.0,569.0,307.0,7
403.0,664.0,575.0,322.0,7
421.0,670.0,576.0,326.0,7
434.0,677.0,574.0,330.0,7
438.0,680.0,572.0,329.0,7
437.0,682.0,567.0,324.0,7
434.0,683.0,565.0,321.0,7
427.0,680.0,562.0,311.0,7
403.0,671.0,555.0,304.0,7
415.0,658.0,566.0,327.0,7
404.0,663.0,550.0,307.0,7
405.0,666.0,557.0,309.0,7
406.0,665.0,561.0,312.0,7
404.0,669.0,562.0,306.0,7
403.0,671.0,558.0,304.0,7
405.0,670.0,555.0,299.0,7
399.0,668.0,554.0,297.0,7
402.0,669.0,554.0,298.0,7
400.0,667.0,560.0,300.0,7
399.0,667.0,560.0,293.0,7
384.0,661.0,560.0,287.0,7
378.0,658.0,559.0,287.0,7
378.0,658.0,559.0,286.0,7
377.0,657.0,559.0,286.0,7
376.0,657.0,559.0,285.0,7
376.0,657.0,559.0,290.0,7
416.0,662.0,571.0,328.0,7
418.0,670.0,558.0,310.0,7
413.0,666.0,564.0,313.0,7
415.0,666.0,565.0,311.0,7
403.0,664.0,556.0,302.0,7
401.0,663.0,554.0,301.0,7
399.0,664.0,553.0,298.0,7
399.0,665.0,555.0,304.0,7
418.0,665.0,562.0,308.0,7
420.0,668.0,562.0,319.0,7
415.0,667.0,560.0,317.0,7
448.0,688.0,597.0,360.0,7
452.0,687.0,603.0,381.0,7
448.0,684.0,595.0,333.0,7
451.0,683.0,600.0,364.0,7
464.0,687.0,599.0,351.0,7
429.0,686.0,594.0,346.0,7
492.0,690.0,638.0,433.0,7
543.0,705.0,654.0,447.0,7
506.0,698.0,622.0,373.0,7
439.0,687.0,597.0,341.0,7
435.0,692.0,590.0,333.0,7
427.0,693.0,587.0,322.0,7
420.0,687.0,585.0,330.0,7
429.0,690.0,586.0,327.0,7
427.0,691.0,587.0,322.0,7
407.0,667.0,552.0,296.0,7
394.0,671.0,561.0,311.0,7
409.0,671.0,564.0,330.0,7
435.0,693.0,587.0,324.0,7
412.0,674.0,595.0,348.0,7
460.0,680.0,607.0,365.0,7
423.0,689.0,582.0,319.0,7
417.0,686.0,578.0,315.0,7
408.0,671.0,572.0,319.0,7
401.0,672.0,560.0,307.0,7
394.0,676.0,551.0,296.0,7
392.0,677.0,552.0,298.0,7
398.0,678.0,563.0,313.0,7
412.0,678.0,564.0,302.0,7
387.0,675.0,562.0,301.0,7
391.0,676.0,566.0,302.0,7
387.0,672.0,564.0,300.0,7
389.0,667.0,567.0,306.0,7
388.0,669.0,560.0,299.0,7
384.0,671.0,558.0,299.0,7
446.0,666.0,619.0,435.0,7
497.0,694.0,584.0,309.0,7
388.0,671.0,562.0,301.0,7
388.0,671.0,567.0,302.0,7
380.0,669.0,558.0,294.0,7
376.0,671.0,555.0,291.0,7
380.0,669.0,558.0,300.0,7
390.0,669.0,562.0,306.0,7
385.0,676.0,554.0,295.0,7
384.0,665.0,575.0,327.0,7
393.0,676.0,569.0,297.0,7
370.0,669.0,559.0,289.0,7
378.0,673.0,560.0,293.0,7
380.0,674.0,561.0,292.0,7
380.0,675.0,561.0,292.0,7
380.0,674.0,561.0,292.0,7
