R,G,B,RGB,D
331.0,664.0,437.0,201.0,9
262.0,614.0,411.0,195.0,9
258.0,609.0,408.0,193.0,9
256.0,607.0,408.0,192.0,9
255.0,606.0,407.0,191.0,9
254.0,606.0,407.0,191.0,9
255.0,606.0,409.0,197.0,9
269.0,601.0,433.0,221.0,9
313.0,612.0,490.0,255.0,9
324.0,616.0,496.0,264.0,9
314.0,630.0,457.0,216.0,9
269.0,620.0,435.0,203.0,9
263.0,618.0,426.0,201.0,9
271.0,621.0,424.0,205.0,9
272.0,618.0,433.0,207.0,9
270.0,622.0,434.0,206.0,9
269.0,624.0,432.0,206.0,9
270.0,625.0,432.0,206.0,9
270.0,625.0,432.0,206.0,9
290.0,625.0,458.0,234.0,9
286.0,629.0,444.0,220.0,9
300.0,620.0,473.0,240.0,9
300.0,620.0,462.0,227.0,9
286.0,607.0,448.0,223.0,9
288.0,595.0,441.0,232.0,9
326.0,606.0,486.0,262.0,9
298.0,618.0,453.0,224.0,9
285.0,618.0,453.0,219.0,9
275.0,618.0,443.0,207.0,9
266.0,614.0,443.0,210.0,9
264.0,600.0,441.0,211.0,9
269.0,607.0,443.0,219.0,9
296.0,611.0,478.0,261.0,9
385.0,633.0,551.0,356.0,9
465.0,660.0,581.0,368.0,9
398.0,644.0,528.0,288.0,9
327.0,627.0,485.0,245.0,9
311.0,616.0,484.0,256.0,9
310.0,617.0,478.0,242.0,9
293.0,615.0,461.0,223.0,9
276.0,612.0,450.0,210.0,9
256.0,613.0,429.0,198.0,9
261.0,617.0,440.0,213.0,9
275.0,619.0,443.0,214.0,9
274.0,611.0,447.0,220.0,9
271.0,606.0,424.0,205.0,9
264.0,584.0,445.0,224.0,9
273.0,608.0,431.0,208.0,9
262.0,604.0,401.0,193.0,9
264.0,605.0,419.0,213.0,9
278.0,620.0,428.0,206.0,9
270.0,622.0,420.0,203.0,9
272.0,624.0,419.0,209.0,9
285.0,623.0,428.0,213.0,9
286.0,625.0,415.0,213.0,9
285.0,612.0,432.0,222.0,9
297.0,617.0,444.0,227.0,9
295.0,617.0,472.0,271.0,9
384.0,635.0,543.0,320.0,9
394.0,639.0,548.0,331.0,9
404.0,645.0,539.0,292.0,9
305.0,625.0,451.0,229.0,9
303.0,613.0,453.0,236.0,9
304.0,596.0,453.0,242.0,9
291.0,608.0,422.0,209.0,9
280.0,613.0,418.0,207.0,9
275.0,613.0,409.0,209.0,9
286.0,613.0,432.0,221.0,9
295.0,608.0,454.0,224.0,9
281.0,610.0,438.0,221.0,9
285.0,608.0,447.0,222.0,9
281.0,612.0,428.0,210.0,9
281.0,607.0,448.0,224.0,9
286.0,610.0,445.0,217.0,9
279.0,609.0,442.0,216.0,9
281.0,619.0,446.0,217.0,9
288.0,622.0,458.0,235.0,9
328.0,614.0,496.0,272.0,9
331.0,605.0,500.0,269.0,9
325.0,605.0,508.0,292.0,9
374.0,620.0,523.0,300.0,9
358.0,615.0,508.0,278.0,9
313.0,604.0,457.0,245.0,9
320.0,611.0,460.0,231.0,9
300.0,608.0,477.0,259.0,9
347.0,612.0,513.0,291.0,9
338.0,618.0,494.0,256.0,9
294.0,618.0,436.0,204.0,9
270.0,623.0,417.0,204.0,9
263.0,619.0,414.0,203.0,9
268.0,619.0,419.0,211.0,9
277.0,622.0,421.0,206.0,9
273.0,612.0,423.0,206.0,9
270.0,606.0,428.0,211.0,9
271.0,611.0,426.0,209.0,9
274.0,609.0,435.0,210.0,9
265.0,613.0,424.0,202.0,9
260.0,602.0,419.0,201.0,9
261.0,600.0,422.0,203.0,9
259.0,599.0,424.0,204.0,9
