R,G,B,RGB,D
847.0,895.0,926.0,663.0,12
818.0,885.0,910.0,653.0,12
817.0,884.0,907.0,651.0,12
856.0,908.0,929.0,743.0,12
843.0,890.0,927.0,695.0,12
814.0,893.0,903.0,659.0,12
866.0,915.0,935.0,702.0,12
859.0,909.0,915.0,690.0,12
818.0,894.0,913.0,725.0,12
859.0,910.0,926.0,701.0,12
852.0,907.0,908.0,659.0,12
818.0,915.0,922.0,746.0,12
841.0,908.0,929.0,704.0,12
847.0,904.0,910.0,660.0,12
837.0,912.0,924.0,760.0,12
849.0,907.0,926.0,711.0,12
858.0,903.0,913.0,657.0,12
863.0,916.0,935.0,781.0,12
880.0,927.0,938.0,758.0,12
875.0,916.0,934.0,713.0,12
818.0,887.0,908.0,706.0,12
861.0,908.0,922.0,720.0,12
817.0,883.0,913.0,711.0,12
871.0,908.0,926.0,696.0,12
866.0,919.0,936.0,726.0,12
816.0,889.0,906.0,697.0,12
872.0,916.0,927.0,698.0,12
859.0,917.0,935.0,745.0,12
810.0,886.0,910.0,657.0,12
863.0,917.0,935.0,756.0,12
851.0,911.0,927.0,702.0,12
871.0,915.0,915.0,664.0,12
820.0,890.0,919.0,725.0,12
864.0,906.0,927.0,698.0,12
853.0,905.0,927.0,698.0,12
859.0,912.0,922.0,730.0,12
820.0,887.0,907.0,691.0,12
880.0,922.0,937.0,718.0,12
854.0,907.0,931.0,756.0,12
862.0,904.0,913.0,654.0,12
826.0,901.0,919.0,752.0,12
854.0,901.0,925.0,698.0,12
882.0,924.0,939.0,783.0,12
845.0,902.0,926.0,739.0,12
874.0,919.0,929.0,681.0,12
820.0,900.0,922.0,742.0,12
814.0,883.0,907.0,681.0,12
861.0,907.0,910.0,656.0,12
858.0,911.0,933.0,759.0,12
849.0,903.0,927.0,723.0,12
868.0,907.0,927.0,697.0,12
880.0,926.0,939.0,742.0,12
857.0,922.0,938.0,768.0,12
814.0,885.0,905.0,672.0,12
872.0,909.0,925.0,700.0,12
862.0,910.0,924.0,734.0,12
819.0,886.0,910.0,707.0,12
872.0,916.0,930.0,701.0,12
856.0,909.0,930.0,703.0,12
854.0,909.0,927.0,701.0,12
859.0,916.0,932.0,700.0,12
859.0,920.0,939.0,767.0,12
848.0,911.0,935.0,765.0,12
864.0,905.0,925.0,726.0,12
865.0,916.0,915.0,660.0,12
848.0,917.0,923.0,747.0,12
815.0,902.0,912.0,729.0,12
836.0,891.0,906.0,712.0,12
879.0,926.0,928.0,703.0,12
869.0,920.0,939.0,771.0,12
849.0,919.0,938.0,776.0,12
831.0,885.0,903.0,665.0,12
852.0,889.0,900.0,658.0,12
865.0,910.0,933.0,705.0,12
859.0,917.0,938.0,765.0,12
843.0,906.0,936.0,776.0,12
866.0,886.0,910.0,662.0,12
858.0,908.0,903.0,655.0,12
852.0,910.0,915.0,655.0,12
826.0,903.0,922.0,740.0,12
850.0,906.0,926.0,700.0,12
874.0,907.0,928.0,699.0,12
871.0,918.0,926.0,699.0,12
878.0,920.0,929.0,748.0,12
815.0,884.0,912.0,665.0,12
870.0,917.0,931.0,764.0,12
850.0,908.0,930.0,742.0,12
857.0,904.0,908.0,656.0,12
832.0,909.0,923.0,725.0,12
847.0,903.0,924.0,697.0,12
864.0,913.0,922.0,710.0,12
819.0,891.0,914.0,726.0,12
870.0,912.0,926.0,698.0,12
865.0,921.0,935.0,747.0,12
817.0,886.0,907.0,675.0,12
875.0,918.0,932.0,700.0,12
856.0,918.0,934.0,747.0,12
810.0,882.0,906.0,663.0,12
872.0,917.0,932.0,700.0,12
857.0,917.0,935.0,753.0,12
