R,G,B,RGB,D
490.0,714.0,619.0,304.0,4
377.0,649.0,581.0,290.0,4
369.0,642.0,576.0,286.0,4
364.0,638.0,574.0,284.0,4
362.0,637.0,573.0,283.0,4
362.0,636.0,573.0,282.0,4
360.0,636.0,573.0,281.0,4
360.0,636.0,573.0,282.0,4
360.0,636.0,573.0,282.0,4
360.0,636.0,572.0,283.0,4
372.0,640.0,573.0,298.0,4
381.0,637.0,578.0,308.0,4
381.0,628.0,587.0,312.0,4
390.0,629.0,589.0,323.0,4
408.0,633.0,604.0,342.0,4
402.0,635.0,592.0,313.0,4
380.0,635.0,577.0,308.0,4
386.0,642.0,574.0,312.0,4
31.0,405.0,32.0,408.0,4
392.0,638.0,570.0,303.0,4
31.0,405.0,32.0,407.0,4
31.0,649.0,588.0,326.0,4
415.0,650.0,589.0,335.0,4
430.0,647.0,580.0,322.0,4
424.0,652.0,582.0,334.0,4
35.0,405.0,32.0,408.0,4
31.0,405.0,32.0,408.0,4
31.0,405.0,32.0,408.0,4
31.0,642.0,596.0,340.0,4
409.0,643.0,579.0,317.0,4
407.0,651.0,576.0,316.0,4
406.0,648.0,579.0,316.0,4
405.0,645.0,577.0,315.0,4
407.0,647.0,576.0,316.0,4
31.0,405.0,32.0,408.0,4
402.0,649.0,573.0,310.0,4
404.0,651.0,572.0,308.0,4
411.0,654.0,574.0,312.0,4
410.0,655.0,577.0,313.0,4
31.0,405.0,32.0,408.0,4
31.0,406.0,32.0,327.0,4
409.0,649.0,574.0,310.0,4
398.0,647.0,573.0,307.0,4
399.0,646.0,575.0,310.0,4
404.0,644.0,577.0,319.0,4
411.0,648.0,576.0,408.0,4
402.0,646.0,576.0,309.0,4
392.0,641.0,573.0,314.0,4
403.0,406.0,575.0,313.0,4
401.0,649.0,573.0,305.0,4
404.0,650.0,574.0,311.0,4
408.0,652.0,574.0,311.0,4
407.0,651.0,574.0,312.0,4
409.0,652.0,575.0,312.0,4
31.0,405.0,32.0,408.0,4
410.0,655.0,580.0,315.0,4
402.0,646.0,575.0,309.0,4
401.0,649.0,573.0,307.0,4
104.0,405.0,32.0,407.0,4
31.0,405.0,574.0,311.0,4
403.0,649.0,575.0,310.0,4
398.0,643.0,578.0,310.0,4
396.0,646.0,572.0,306.0,4
395.0,644.0,573.0,308.0,4
31.0,405.0,32.0,407.0,4
31.0,405.0,32.0,408.0,4
411.0,654.0,573.0,311.0,4
410.0,653.0,574.0,307.0,4
404.0,653.0,576.0,304.0,4
401.0,651.0,576.0,305.0,4
397.0,650.0,576.0,302.0,4
395.0,649.0,575.0,301.0,4
394.0,648.0,575.0,301.0,4
394.0,648.0,575.0,301.0,4
394.0,649.0,575.0,302.0,4
396.0,649.0,575.0,303.0,4
396.0,649.0,575.0,303.0,4
398.0,650.0,575.0,303.0,4
397.0,649.0,575.0,302.0,4
397.0,650.0,575.0,306.0,4
405.0,653.0,576.0,310.0,4
408.0,654.0,574.0,310.0,4
408.0,654.0,573.0,308.0,4
412.0,654.0,575.0,312.0,4
412.0,655.0,576.0,314.0,4
414.0,656.0,576.0,311.0,4
409.0,654.0,575.0,311.0,4
412.0,654.0,575.0,313.0,4
415.0,655.0,575.0,315.0,4
35.0,405.0,32.0,315.0,4
412.0,655.0,575.0,310.0,4
410.0,654.0,575.0,309.0,4
411.0,655.0,578.0,313.0,4
31.0,405.0,32.0,408.0,4
430.0,405.0,32.0,408.0,4
418.0,659.0,579.0,313.0,4
416.0,658.0,32.0,408.0,4
31.0,405.0,575.0,320.0,4
413.0,657.0,576.0,314.0,4
31.0,406.0,32.0,407.0,4
