R,G,B,RGB,D
866.0,898.0,796.0,592.0,6
722.0,816.0,740.0,553.0,6
703.0,804.0,730.0,544.0,6
693.0,798.0,726.0,539.0,6
691.0,797.0,725.0,537.0,6
688.0,795.0,724.0,534.0,6
686.0,793.0,723.0,532.0,6
685.0,793.0,723.0,536.0,6
695.0,795.0,725.0,546.0,6
715.0,800.0,732.0,567.0,6
728.0,805.0,735.0,565.0,6
720.0,803.0,732.0,563.0,6
720.0,802.0,732.0,560.0,6
711.0,799.0,730.0,558.0,6
716.0,801.0,731.0,560.0,6
722.0,805.0,716.0,548.0,6
695.0,810.0,702.0,530.0,6
672.0,798.0,663.0,475.0,6
612.0,786.0,624.0,447.0,6
627.0,790.0,656.0,492.0,6
690.0,814.0,729.0,554.0,6
680.0,807.0,730.0,549.0,6
674.0,805.0,728.0,540.0,6
659.0,802.0,724.0,527.0,6
655.0,800.0,722.0,531.0,6
669.0,788.0,704.0,518.0,6
672.0,770.0,663.0,487.0,6
665.0,773.0,694.0,535.0,6
700.0,799.0,714.0,540.0,6
691.0,799.0,717.0,535.0,6
679.0,794.0,715.0,527.0,6
678.0,787.0,712.0,539.0,6
687.0,800.0,717.0,545.0,6
697.0,803.0,729.0,570.0,6
709.0,809.0,730.0,555.0,6
699.0,810.0,720.0,551.0,6
705.0,811.0,716.0,548.0,6
700.0,810.0,711.0,535.0,6
690.0,807.0,708.0,533.0,6
693.0,806.0,707.0,539.0,6
700.0,811.0,706.0,552.0,6
683.0,807.0,711.0,548.0,6
698.0,809.0,739.0,585.0,6
725.0,818.0,735.0,563.0,6
706.0,810.0,721.0,550.0,6
706.0,807.0,725.0,552.0,6
696.0,805.0,726.0,555.0,6
705.0,807.0,721.0,547.0,6
692.0,806.0,715.0,539.0,6
692.0,805.0,717.0,539.0,6
695.0,807.0,719.0,549.0,6
694.0,808.0,716.0,539.0,6
693.0,807.0,717.0,541.0,6
699.0,809.0,718.0,544.0,6
703.0,806.0,708.0,536.0,6
704.0,806.0,707.0,540.0,6
712.0,809.0,704.0,541.0,6
721.0,818.0,708.0,549.0,6
715.0,817.0,708.0,545.0,6
710.0,815.0,710.0,545.0,6
710.0,815.0,713.0,541.0,6
700.0,807.0,722.0,563.0,6
713.0,811.0,725.0,560.0,6
711.0,813.0,715.0,549.0,6
705.0,813.0,709.0,543.0,6
712.0,816.0,713.0,548.0,6
712.0,817.0,712.0,548.0,6
721.0,820.0,709.0,565.0,6
697.0,826.0,713.0,543.0,6
696.0,824.0,719.0,552.0,6
705.0,824.0,728.0,567.0,6
732.0,835.0,728.0,573.0,6
735.0,834.0,726.0,571.0,6
733.0,834.0,729.0,568.0,6
719.0,829.0,730.0,572.0,6
723.0,831.0,729.0,567.0,6
710.0,826.0,729.0,563.0,6
727.0,833.0,730.0,572.0,6
729.0,833.0,733.0,572.0,6
723.0,832.0,728.0,568.0,6
732.0,833.0,722.0,554.0,6
675.0,814.0,704.0,525.0,6
656.0,810.0,692.0,513.0,6
691.0,819.0,720.0,561.0,6
722.0,820.0,758.0,610.0,6
729.0,827.0,739.0,569.0,6
704.0,822.0,731.0,560.0,6
701.0,820.0,724.0,552.0,6
696.0,821.0,719.0,550.0,6
702.0,825.0,723.0,545.0,6
697.0,820.0,717.0,545.0,6
684.0,812.0,711.0,558.0,6
716.0,829.0,732.0,568.0,6
717.0,831.0,732.0,566.0,6
716.0,830.0,728.0,560.0,6
709.0,828.0,723.0,556.0,6
715.0,830.0,726.0,565.0,6
722.0,833.0,723.0,563.0,6
717.0,831.0,717.0,561.0,6
709.0,826.0,719.0,551.0,6
