R,G,B,RGB,D
902.0,901.0,947.0,718.0,9
878.0,891.0,934.0,707.0,9
877.0,889.0,931.0,705.0,9
877.0,889.0,931.0,704.0,9
889.0,915.0,934.0,705.0,9
878.0,896.0,934.0,752.0,9
895.0,895.0,954.0,735.0,9
896.0,904.0,937.0,702.0,9
875.0,898.0,941.0,764.0,9
892.0,894.0,953.0,759.0,9
888.0,910.0,933.0,708.0,9
888.0,912.0,943.0,751.0,9
874.0,888.0,937.0,758.0,9
889.0,892.0,930.0,706.0,9
890.0,920.0,942.0,753.0,9
878.0,907.0,939.0,770.0,9
895.0,893.0,951.0,746.0,9
889.0,903.0,930.0,702.0,9
897.0,914.0,957.0,749.0,9
896.0,904.0,955.0,787.0,9
881.0,882.0,931.0,708.0,9
902.0,902.0,955.0,746.0,9
897.0,921.0,946.0,729.0,9
880.0,902.0,929.0,756.0,9
884.0,885.0,937.0,764.0,9
898.0,895.0,951.0,741.0,9
895.0,915.0,934.0,713.0,9
887.0,911.0,950.0,778.0,9
900.0,895.0,952.0,748.0,9
894.0,917.0,934.0,705.0,9
881.0,901.0,945.0,739.0,9
898.0,896.0,953.0,747.0,9
889.0,882.0,933.0,704.0,9
896.0,914.0,954.0,748.0,9
896.0,906.0,954.0,794.0,9
885.0,879.0,935.0,704.0,9
901.0,926.0,957.0,767.0,9
900.0,916.0,953.0,784.0,9
874.0,888.0,933.0,734.0,9
897.0,916.0,951.0,739.0,9
900.0,927.0,948.0,754.0,9
878.0,908.0,943.0,776.0,9
893.0,897.0,952.0,736.0,9
895.0,903.0,952.0,734.0,9
896.0,924.0,952.0,774.0,9
894.0,912.0,949.0,780.0,9
873.0,886.0,938.0,749.0,9
898.0,922.0,954.0,741.0,9
898.0,921.0,950.0,777.0,9
875.0,895.0,938.0,759.0,9
897.0,901.0,950.0,735.0,9
894.0,923.0,942.0,707.0,9
885.0,916.0,954.0,777.0,9
889.0,894.0,954.0,751.0,9
888.0,885.0,949.0,727.0,9
897.0,922.0,957.0,757.0,9
892.0,912.0,958.0,783.0,9
875.0,884.0,938.0,739.0,9
900.0,903.0,953.0,734.0,9
896.0,915.0,944.0,711.0,9
878.0,903.0,942.0,770.0,9
894.0,898.0,952.0,751.0,9
894.0,914.0,931.0,708.0,9
897.0,924.0,955.0,780.0,9
894.0,899.0,954.0,761.0,9
882.0,886.0,934.0,709.0,9
900.0,916.0,955.0,747.0,9
898.0,920.0,956.0,798.0,9
886.0,894.0,954.0,758.0,9
891.0,895.0,953.0,736.0,9
894.0,925.0,948.0,709.0,9
881.0,909.0,944.0,773.0,9
875.0,883.0,938.0,751.0,9
880.0,880.0,938.0,708.0,9
893.0,923.0,948.0,740.0,9
898.0,929.0,952.0,791.0,9
875.0,889.0,937.0,758.0,9
895.0,913.0,947.0,732.0,9
899.0,922.0,955.0,766.0,9
897.0,914.0,957.0,788.0,9
893.0,900.0,955.0,756.0,9
886.0,887.0,936.0,716.0,9
896.0,915.0,938.0,732.0,9
881.0,888.0,934.0,711.0,9
895.0,920.0,957.0,744.0,9
895.0,912.0,960.0,786.0,9
894.0,898.0,956.0,766.0,9
876.0,884.0,941.0,751.0,9
892.0,885.0,933.0,716.0,9
893.0,904.0,928.0,703.0,9
898.0,926.0,959.0,780.0,9
894.0,900.0,955.0,777.0,9
900.0,892.0,956.0,735.0,9
900.0,910.0,955.0,726.0,9
883.0,906.0,936.0,754.0,9
894.0,918.0,955.0,772.0,9
900.0,922.0,960.0,795.0,9
892.0,905.0,961.0,782.0,9
891.0,898.0,956.0,787.0,9
893.0,898.0,957.0,758.0,9
