R,G,B,RGB,D
907.0,938.0,879.0,711.0,1
884.0,925.0,860.0,680.0,1
892.0,939.0,860.0,720.0,1
882.0,933.0,836.0,679.0,1
898.0,927.0,891.0,741.0,1
883.0,934.0,837.0,680.0,1
890.0,926.0,883.0,730.0,1
890.0,937.0,839.0,687.0,1
887.0,930.0,854.0,681.0,1
893.0,939.0,854.0,720.0,1
880.0,929.0,837.0,679.0,1
896.0,934.0,877.0,725.0,1
892.0,937.0,839.0,684.0,1
885.0,924.0,871.0,693.0,1
898.0,939.0,859.0,716.0,1
883.0,935.0,835.0,681.0,1
883.0,924.0,879.0,716.0,1
890.0,938.0,852.0,715.0,1
883.0,931.0,835.0,675.0,1
895.0,933.0,875.0,734.0,1
883.0,931.0,835.0,675.0,1
892.0,934.0,866.0,689.0,1
892.0,938.0,865.0,729.0,1
876.0,924.0,845.0,678.0,1
897.0,939.0,873.0,731.0,1
892.0,939.0,835.0,690.0,1
891.0,939.0,833.0,683.0,1
903.0,943.0,881.0,748.0,1
881.0,928.0,860.0,691.0,1
898.0,944.0,837.0,706.0,1
878.0,924.0,869.0,711.0,1
894.0,943.0,845.0,703.0,1
887.0,932.0,849.0,679.0,1
897.0,942.0,874.0,731.0,1
885.0,940.0,832.0,680.0,1
901.0,941.0,880.0,742.0,1
874.0,933.0,830.0,680.0,1
897.0,929.0,893.0,760.0,1
871.0,922.0,833.0,681.0,1
900.0,945.0,840.0,706.0,1
880.0,923.0,893.0,744.0,1
890.0,940.0,834.0,695.0,1
879.0,923.0,879.0,730.0,1
888.0,939.0,834.0,690.0,1
881.0,923.0,879.0,728.0,1
888.0,937.0,833.0,676.0,1
888.0,925.0,894.0,743.0,1
890.0,938.0,834.0,694.0,1
876.0,916.0,884.0,733.0,1
894.0,940.0,838.0,690.0,1
879.0,919.0,874.0,716.0,1
898.0,939.0,843.0,714.0,1
876.0,918.0,883.0,725.0,1
893.0,938.0,856.0,728.0,1
874.0,918.0,879.0,726.0,1
892.0,937.0,847.0,716.0,1
870.0,910.0,890.0,744.0,1
891.0,938.0,841.0,701.0,1
886.0,928.0,840.0,683.0,1
899.0,940.0,847.0,699.0,1
896.0,941.0,836.0,683.0,1
890.0,924.0,884.0,739.0,1
885.0,936.0,833.0,678.0,1
883.0,917.0,894.0,755.0,1
880.0,934.0,831.0,678.0,1
886.0,923.0,896.0,750.0,1
888.0,938.0,855.0,717.0,1
873.0,921.0,882.0,713.0,1
893.0,937.0,890.0,753.0,1
870.0,924.0,878.0,707.0,1
895.0,935.0,881.0,742.0,1
878.0,925.0,875.0,699.0,1
896.0,940.0,845.0,721.0,1
876.0,918.0,887.0,726.0,1
894.0,940.0,861.0,737.0,1
860.0,901.0,892.0,744.0,1
892.0,937.0,847.0,727.0,1
860.0,902.0,891.0,752.0,1
882.0,935.0,834.0,681.0,1
886.0,918.0,906.0,772.0,1
875.0,931.0,831.0,679.0,1
900.0,942.0,873.0,746.0,1
862.0,905.0,895.0,756.0,1
890.0,939.0,835.0,685.0,1
877.0,914.0,900.0,760.0,1
875.0,933.0,830.0,678.0,1
900.0,938.0,894.0,759.0,1
873.0,922.0,856.0,681.0,1
899.0,942.0,838.0,683.0,1
900.0,940.0,885.0,757.0,1
867.0,912.0,881.0,726.0,1
898.0,942.0,844.0,724.0,1
874.0,916.0,896.0,748.0,1
894.0,941.0,834.0,683.0,1
900.0,929.0,902.0,767.0,1
880.0,928.0,830.0,681.0,1
903.0,943.0,872.0,749.0,1
865.0,908.0,896.0,759.0,1
883.0,936.0,831.0,679.0,1
900.0,929.0,903.0,767.0,1
