R,G,B,RGB,D
938.0,967.0,990.0,833.0,11
917.0,959.0,982.0,823.0,11
914.0,958.0,979.0,817.0,11
912.0,956.0,982.0,821.0,11
912.0,957.0,978.0,827.0,11
913.0,958.0,979.0,817.0,11
914.0,960.0,979.0,830.0,11
914.0,957.0,980.0,818.0,11
916.0,959.0,979.0,827.0,11
911.0,957.0,980.0,816.0,11
912.0,955.0,981.0,822.0,11
910.0,958.0,980.0,826.0,11
916.0,957.0,983.0,824.0,11
910.0,957.0,979.0,829.0,11
912.0,957.0,981.0,820.0,11
913.0,959.0,979.0,828.0,11
912.0,957.0,983.0,821.0,11
913.0,959.0,978.0,831.0,11
918.0,958.0,980.0,822.0,11
914.0,960.0,980.0,825.0,11
915.0,958.0,981.0,821.0,11
915.0,959.0,979.0,825.0,11
913.0,957.0,981.0,822.0,11
909.0,958.0,982.0,820.0,11
911.0,956.0,981.0,827.0,11
911.0,959.0,980.0,818.0,11
916.0,961.0,980.0,832.0,11
917.0,959.0,980.0,821.0,11
918.0,960.0,978.0,827.0,11
915.0,957.0,981.0,818.0,11
913.0,959.0,980.0,828.0,11
911.0,954.0,987.0,819.0,11
912.0,958.0,981.0,829.0,11
911.0,954.0,985.0,819.0,11
914.0,959.0,980.0,828.0,11
916.0,953.0,980.0,818.0,11
916.0,958.0,979.0,829.0,11
918.0,954.0,980.0,819.0,11
915.0,959.0,980.0,829.0,11
912.0,955.0,985.0,821.0,11
913.0,957.0,983.0,828.0,11
911.0,953.0,989.0,821.0,11
910.0,956.0,981.0,830.0,11
912.0,951.0,988.0,822.0,11
918.0,959.0,978.0,834.0,11
915.0,954.0,981.0,821.0,11
921.0,961.0,981.0,834.0,11
913.0,957.0,987.0,823.0,11
916.0,959.0,979.0,833.0,11
915.0,958.0,982.0,821.0,11
919.0,959.0,982.0,834.0,11
912.0,954.0,990.0,822.0,11
914.0,957.0,982.0,832.0,11
915.0,958.0,984.0,824.0,11
918.0,959.0,980.0,835.0,11
917.0,956.0,983.0,825.0,11
918.0,959.0,982.0,832.0,11
911.0,955.0,991.0,826.0,11
914.0,957.0,984.0,831.0,11
912.0,952.0,989.0,821.0,11
912.0,957.0,979.0,831.0,11
916.0,953.0,987.0,825.0,11
917.0,958.0,981.0,821.0,11
918.0,956.0,982.0,829.0,11
913.0,957.0,989.0,822.0,11
913.0,959.0,983.0,829.0,11
912.0,953.0,984.0,817.0,11
914.0,957.0,980.0,828.0,11
911.0,952.0,984.0,822.0,11
917.0,959.0,980.0,831.0,11
913.0,958.0,983.0,832.0,11
920.0,963.0,981.0,837.0,11
918.0,958.0,980.0,821.0,11
915.0,958.0,979.0,831.0,11
911.0,958.0,978.0,823.0,11
916.0,961.0,976.0,821.0,11
915.0,959.0,978.0,819.0,11
916.0,961.0,979.0,825.0,11
915.0,959.0,981.0,820.0,11
918.0,962.0,977.0,828.0,11
916.0,957.0,981.0,820.0,11
918.0,962.0,978.0,829.0,11
916.0,958.0,979.0,820.0,11
919.0,962.0,978.0,827.0,11
917.0,959.0,979.0,824.0,11
916.0,961.0,979.0,820.0,11
915.0,958.0,981.0,820.0,11
915.0,960.0,979.0,824.0,11
918.0,957.0,982.0,821.0,11
918.0,962.0,979.0,831.0,11
918.0,958.0,979.0,821.0,11
919.0,962.0,978.0,829.0,11
914.0,957.0,982.0,819.0,11
916.0,961.0,981.0,832.0,11
916.0,956.0,983.0,818.0,11
916.0,960.0,981.0,829.0,11
915.0,958.0,981.0,819.0,11
917.0,962.0,979.0,829.0,11
916.0,958.0,980.0,821.0,11
915.0,960.0,979.0,825.0,11
