R,G,B,RGB,D
830.0,814.0,874.0,595.0,8
800.0,801.0,860.0,588.0,8
798.0,799.0,860.0,597.0,8
797.0,793.0,821.0,517.0,8
760.0,763.0,820.0,631.0,8
791.0,794.0,856.0,585.0,8
779.0,745.0,800.0,530.0,8
764.0,749.0,813.0,527.0,8
745.0,735.0,809.0,602.0,8
795.0,791.0,859.0,588.0,8
802.0,764.0,813.0,536.0,8
742.0,733.0,802.0,591.0,8
801.0,795.0,863.0,589.0,8
802.0,807.0,841.0,615.0,8
741.0,738.0,807.0,590.0,8
794.0,792.0,859.0,587.0,8
803.0,802.0,852.0,665.0,8
747.0,728.0,801.0,526.0,8
762.0,757.0,802.0,507.0,8
752.0,765.0,821.0,589.0,8
738.0,720.0,810.0,574.0,8
725.0,718.0,799.0,507.0,8
741.0,726.0,801.0,560.0,8
787.0,793.0,852.0,582.0,8
798.0,797.0,857.0,636.0,8
723.0,716.0,800.0,507.0,8
745.0,753.0,817.0,648.0,8
791.0,793.0,855.0,591.0,8
765.0,733.0,801.0,511.0,8
793.0,784.0,849.0,578.0,8
799.0,800.0,837.0,615.0,8
736.0,727.0,802.0,526.0,8
793.0,795.0,857.0,583.0,8
804.0,801.0,825.0,669.0,8
745.0,728.0,797.0,508.0,8
769.0,772.0,816.0,576.0,8
795.0,798.0,853.0,616.0,8
741.0,722.0,801.0,508.0,8
783.0,786.0,829.0,582.0,8
796.0,796.0,856.0,618.0,8
762.0,751.0,800.0,510.0,8
768.0,770.0,823.0,574.0,8
793.0,795.0,847.0,613.0,8
744.0,719.0,800.0,508.0,8
769.0,750.0,801.0,511.0,8
770.0,772.0,802.0,510.0,8
794.0,802.0,846.0,579.0,8
805.0,810.0,849.0,582.0,8
804.0,807.0,855.0,581.0,8
804.0,813.0,843.0,602.0,8
740.0,744.0,816.0,606.0,8
734.0,755.0,813.0,610.0,8
742.0,764.0,818.0,620.0,8
733.0,750.0,814.0,615.0,8
774.0,768.0,834.0,624.0,8
792.0,793.0,863.0,607.0,8
795.0,768.0,803.0,515.0,8
775.0,761.0,803.0,510.0,8
765.0,738.0,804.0,529.0,8
782.0,770.0,828.0,570.0,8
791.0,781.0,848.0,624.0,8
793.0,796.0,858.0,628.0,8
727.0,723.0,801.0,563.0,8
780.0,787.0,850.0,579.0,8
748.0,727.0,802.0,515.0,8
789.0,786.0,843.0,572.0,8
799.0,797.0,825.0,541.0,8
746.0,766.0,822.0,597.0,8
767.0,770.0,825.0,611.0,8
774.0,755.0,824.0,585.0,8
787.0,763.0,822.0,577.0,8
786.0,783.0,825.0,572.0,8
753.0,761.0,824.0,575.0,8
740.0,756.0,820.0,530.0,8
745.0,755.0,817.0,548.0,8
747.0,759.0,816.0,597.0,8
793.0,791.0,855.0,581.0,8
793.0,771.0,811.0,511.0,8
794.0,799.0,848.0,611.0,8
800.0,813.0,859.0,635.0,8
758.0,739.0,815.0,592.0,8
742.0,738.0,813.0,599.0,8
736.0,726.0,801.0,561.0,8
748.0,725.0,799.0,512.0,8
774.0,762.0,802.0,514.0,8
785.0,745.0,804.0,529.0,8
784.0,775.0,829.0,563.0,8
804.0,793.0,818.0,575.0,8
757.0,730.0,801.0,510.0,8
770.0,764.0,801.0,509.0,8
759.0,731.0,802.0,535.0,8
729.0,732.0,813.0,626.0,8
734.0,757.0,816.0,593.0,8
796.0,805.0,853.0,580.0,8
806.0,798.0,829.0,602.0,8
740.0,753.0,818.0,603.0,8
788.0,789.0,850.0,589.0,8
747.0,746.0,804.0,514.0,8
785.0,786.0,841.0,610.0,8
795.0,796.0,859.0,585.0,8
