R,G,B,RGB,D
786.0,939.0,922.0,654.0,4
799.0,927.0,910.0,647.0,4
760.0,932.0,909.0,681.0,4
776.0,832.0,874.0,563.0,4
757.0,883.0,897.0,724.0,4
751.0,929.0,912.0,703.0,4
731.0,831.0,868.0,569.0,4
786.0,864.0,872.0,563.0,4
743.0,873.0,889.0,714.0,4
752.0,930.0,906.0,680.0,4
808.0,920.0,901.0,639.0,4
822.0,901.0,888.0,694.0,4
720.0,833.0,873.0,616.0,4
739.0,831.0,869.0,582.0,4
822.0,917.0,906.0,637.0,4
767.0,928.0,910.0,678.0,4
756.0,931.0,908.0,698.0,4
773.0,841.0,869.0,562.0,4
740.0,846.0,876.0,621.0,4
720.0,834.0,881.0,704.0,4
814.0,921.0,899.0,633.0,4
827.0,890.0,888.0,672.0,4
722.0,837.0,877.0,692.0,4
807.0,925.0,901.0,639.0,4
811.0,883.0,881.0,632.0,4
724.0,834.0,876.0,677.0,4
772.0,927.0,906.0,635.0,4
796.0,867.0,886.0,658.0,4
740.0,850.0,884.0,678.0,4
711.0,827.0,863.0,574.0,4
809.0,905.0,907.0,636.0,4
794.0,919.0,912.0,736.0,4
750.0,927.0,904.0,679.0,4
805.0,856.0,880.0,561.0,4
770.0,863.0,889.0,680.0,4
715.0,830.0,873.0,629.0,4
775.0,841.0,863.0,557.0,4
804.0,878.0,896.0,746.0,4
749.0,925.0,911.0,703.0,4
807.0,923.0,905.0,662.0,4
808.0,854.0,879.0,564.0,4
777.0,858.0,882.0,591.0,4
735.0,847.0,882.0,658.0,4
756.0,901.0,876.0,598.0,4
780.0,853.0,875.0,563.0,4
747.0,868.0,886.0,668.0,4
746.0,925.0,907.0,690.0,4
802.0,925.0,903.0,638.0,4
818.0,925.0,902.0,644.0,4
821.0,910.0,893.0,678.0,4
718.0,835.0,877.0,657.0,4
716.0,827.0,871.0,612.0,4
763.0,828.0,869.0,582.0,4
769.0,832.0,865.0,585.0,4
816.0,915.0,901.0,635.0,4
781.0,924.0,913.0,712.0,4
754.0,927.0,908.0,717.0,4
748.0,927.0,906.0,652.0,4
792.0,846.0,874.0,562.0,4
726.0,843.0,877.0,646.0,4
714.0,833.0,869.0,602.0,4
742.0,832.0,866.0,573.0,4
824.0,904.0,911.0,637.0,4
774.0,924.0,910.0,729.0,4
750.0,926.0,907.0,684.0,4
803.0,867.0,869.0,565.0,4
773.0,878.0,886.0,691.0,4
718.0,844.0,882.0,706.0,4
816.0,925.0,908.0,639.0,4
832.0,913.0,910.0,637.0,4
781.0,916.0,897.0,699.0,4
717.0,833.0,873.0,655.0,4
784.0,827.0,862.0,560.0,4
796.0,901.0,908.0,735.0,4
757.0,928.0,914.0,729.0,4
750.0,928.0,907.0,690.0,4
789.0,844.0,867.0,562.0,4
785.0,858.0,881.0,621.0,4
743.0,861.0,884.0,719.0,4
745.0,928.0,908.0,666.0,4
815.0,918.0,907.0,638.0,4
801.0,904.0,895.0,693.0,4
723.0,834.0,878.0,649.0,4
773.0,830.0,865.0,576.0,4
813.0,895.0,904.0,673.0,4
782.0,917.0,909.0,739.0,4
746.0,928.0,912.0,719.0,4
783.0,829.0,867.0,564.0,4
791.0,856.0,870.0,565.0,4
816.0,904.0,912.0,738.0,4
762.0,927.0,915.0,736.0,4
747.0,927.0,910.0,695.0,4
781.0,828.0,867.0,564.0,4
794.0,858.0,878.0,566.0,4
769.0,887.0,897.0,740.0,4
753.0,932.0,912.0,717.0,4
806.0,928.0,911.0,678.0,4
811.0,855.0,869.0,562.0,4
760.0,853.0,881.0,605.0,4
766.0,862.0,888.0,724.0,4
