R,G,B,RGB,D
849.0,914.0,972.0,714.0,3
822.0,905.0,964.0,707.0,3
847.0,911.0,953.0,705.0,3
820.0,908.0,957.0,789.0,3
902.0,945.0,979.0,784.0,3
896.0,931.0,956.0,727.0,3
849.0,924.0,960.0,808.0,3
890.0,951.0,976.0,799.0,3
876.0,917.0,957.0,702.0,3
820.0,916.0,956.0,783.0,3
896.0,949.0,975.0,791.0,3
898.0,940.0,961.0,797.0,3
888.0,939.0,966.0,805.0,3
851.0,908.0,959.0,710.0,3
856.0,925.0,956.0,806.0,3
887.0,949.0,981.0,794.0,3
878.0,921.0,953.0,707.0,3
818.0,912.0,955.0,767.0,3
810.0,906.0,959.0,723.0,3
889.0,944.0,976.0,794.0,3
890.0,950.0,977.0,813.0,3
885.0,949.0,974.0,792.0,3
899.0,950.0,975.0,788.0,3
899.0,934.0,957.0,776.0,3
826.0,905.0,960.0,737.0,3
836.0,903.0,958.0,701.0,3
884.0,942.0,973.0,807.0,3
892.0,951.0,966.0,785.0,3
818.0,905.0,958.0,702.0,3
862.0,922.0,953.0,702.0,3
819.0,914.0,957.0,762.0,3
811.0,905.0,959.0,760.0,3
897.0,951.0,974.0,800.0,3
897.0,952.0,973.0,815.0,3
893.0,953.0,978.0,808.0,3
849.0,915.0,958.0,708.0,3
853.0,931.0,960.0,810.0,3
891.0,958.0,978.0,805.0,3
867.0,928.0,958.0,713.0,3
858.0,932.0,959.0,802.0,3
891.0,956.0,975.0,802.0,3
861.0,924.0,959.0,706.0,3
841.0,928.0,955.0,775.0,3
815.0,918.0,958.0,782.0,3
897.0,955.0,977.0,794.0,3
904.0,955.0,977.0,796.0,3
898.0,955.0,977.0,818.0,3
889.0,955.0,977.0,813.0,3
864.0,923.0,960.0,706.0,3
858.0,928.0,960.0,784.0,3
813.0,909.0,967.0,705.0,3
858.0,925.0,960.0,706.0,3
848.0,929.0,956.0,779.0,3
815.0,919.0,956.0,783.0,3
899.0,955.0,974.0,795.0,3
903.0,952.0,970.0,811.0,3
895.0,957.0,971.0,792.0,3
808.0,915.0,958.0,721.0,3
850.0,917.0,959.0,705.0,3
847.0,926.0,955.0,706.0,3
850.0,932.0,960.0,810.0,3
891.0,958.0,978.0,816.0,3
879.0,927.0,958.0,716.0,3
851.0,926.0,953.0,709.0,3
820.0,929.0,955.0,710.0,3
830.0,931.0,954.0,706.0,3
845.0,934.0,958.0,802.0,3
899.0,963.0,976.0,814.0,3
895.0,959.0,974.0,809.0,3
897.0,959.0,975.0,805.0,3
884.0,934.0,954.0,711.0,3
822.0,928.0,956.0,754.0,3
816.0,921.0,958.0,765.0,3
908.0,960.0,972.0,802.0,3
907.0,959.0,974.0,802.0,3
904.0,951.0,960.0,772.0,3
815.0,919.0,958.0,746.0,3
841.0,918.0,956.0,711.0,3
891.0,951.0,969.0,801.0,3
903.0,961.0,974.0,820.0,3
899.0,959.0,967.0,793.0,3
817.0,918.0,956.0,713.0,3
880.0,942.0,964.0,815.0,3
900.0,936.0,954.0,748.0,3
821.0,919.0,956.0,740.0,3
837.0,919.0,955.0,706.0,3
861.0,934.0,959.0,802.0,3
900.0,958.0,971.0,815.0,3
898.0,959.0,970.0,806.0,3
858.0,920.0,953.0,710.0,3
860.0,929.0,952.0,709.0,3
859.0,934.0,955.0,799.0,3
900.0,948.0,969.0,800.0,3
900.0,955.0,970.0,805.0,3
900.0,957.0,971.0,809.0,3
869.0,928.0,953.0,707.0,3
865.0,932.0,949.0,743.0,3
839.0,929.0,953.0,782.0,3
909.0,959.0,973.0,800.0,3
909.0,961.0,975.0,812.0,3
